"LANGUAGE","Angol"
"BOB_NAM","BOB: a fa és prop kezelő"
"BOB_DESC","Helyettesíti a fákat és a kellékeket (prop)."
"TRN_CHOICE","Nyelv kiválasztása"
"LANGUAGE_GAME","Használja a rendszer nyelvét"
"NOTE_CLOSE","Bezárás"
"NOTE_DONTSHOWAGAIN","Ne mutassa újra"
"BOB_ROW_WAS","volt"
"BOB_PNL_NOP","Nem található prop"
"BOB_PNL_NOT","Nem található fa"
"BOB_PNL_TRE","Fák"
"BOB_PNL_PRP","Prop"
"BOB_PNL_BOT","Fa és prop együtt"
"BOB_PNL_HDV","Vanilla nélkül"
"BOB_PNL_ACT","Műveletek"
"BOB_PNL_MOD","Elhelyezési mód"
"BOB_PNL_LAN","Válassz sávot"
"BOB_PNL_LAN_TIP","Válassz ki egy adott sávot az úton (pályán) a módosításhoz, vagy válaszd ki az összes sáv megjelenítését"
"BOB_PNL_LAN_ALL","Minden sáv"
"BOB_PNL_FUN","Extra funkciók"
"BOB_PNL_M_PIB","Egyedi prop ezekben az építményekben"
"BOB_PNL_M_PGB","Az összes ilyen típusú prop ezekben az építményekben"
"BOB_PNL_M_PAB","Minden ilyen típusú prop minden építményben"
"BOB_PNL_M_TIB","Egyedi fák ezekben az építményekben"
"BOB_PNL_M_TGB","Az összes ilyen fa ezekben az építményekben"
"BOB_PNL_M_TAB","Az összes ilyen fa minden építményben"
"BOB_PNL_M_PIN","Egyéni prop ezeken az utakon (pályákon)"
"BOB_PNL_M_PGN","Az összes ilyen típusú prop ezeken az utakon (pályákon)"
"BOB_PNL_M_PAN","Minden ilyen típusú prop minden úton (pályán)"
"BOB_PNL_M_TIN","Egyedi fák ezeken az utakon (pályákon)"
"BOB_PNL_M_TGN","Az összes ilyen fa ezeken az utakon (pályákon)"
"BOB_PNL_M_TAN","Az összes ilyen típusú fa minden úton (pályán)"
"BOB_PNL_RTB","Távolítsa el ezeket az építményeket"
"BOB_PNL_RAB","TÁVOLÍTSA EL minden építményen"
"BOB_PNL_RTN","TÁVOLÍTSA el ezeken az utakon (pályákon)"
"BOB_PNL_RAN","Minden útról (pályáról) ELTÁVOLÍTANI"
"BOB_PNL_RTT","Térkép fák"
"BOB_PNL_RTP","Térkép prop"
"BOB_PNL_RSW","Véletlenszerű megjelenítés"
"BOB_PNL_RST","Véletlenszerű beállítás"
"BOB_PNL_SCA","Prop és fa méretezés"
"BOB_PNL_APP","Alkalmazza és mentse a módosításokat"
"BOB_PNL_REV","Visszaállít"
"BOB_PNL_ADD","Új prop hozzáadása"
"BOB_PNL_REM","A hozzáadott prop eltávolítása"
"BOB_PNL_REV_UND","A kiválasztott csere visszavonása"
"BOB_PNL_REV_TIP","A visszaállítás nem érhető el, mivel ehhez az elemhez nincs aktív csere"
"BOB_PNL_HID","Az elem elrejtése (nullára állítja a valószínűséget)"
"BOB_PNL_PKB","Cserecsomagok"
"BOB_PNL_PRB","Előfordulási arány"
"BOB_PNL_ANG","Szög"
"BOB_PNL_OFF","Eltolás"
"BOB_PNL_HEI","Magasság"
"BOB_PNL_CUH","Egyéni"
"BOB_PNL_CUH_TIP","Ha ezt választod, akkor a megadott egyéni magassági eltolás kerül felhasználásra (az alapértelmezett prop magasság használata helyett)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Hézagolás"
"BOB_PNL_REP_TIP","Köztes távolság"
"BOB_PNL_SUB","Alépületek"
"BOB_RND_TIT","véletlenszerű fa és prop konfigurálás"
"BOB_RND_NEW","Új"
"BOB_RND_DEL","Törlés"
"BOB_RND_REN","Átnevezés"
"BOB_RND_ADD","Variáció hozzáadás"
"BOB_RND_SUB","Eltávolítás a változatok közül"
"BOB_SCA_TIT","konfigurálja a prop skálázást"
"BOB_SCA_MIN","Minimális méretarány"
"BOB_SCA_MAX","Maximális lépték"
"BOB_SPR_SBL","Ezekre az épületekre jelenleg cserét kérnek"
"BOB_SPR_ABL","Jelenleg minden épületre cserét kérsz"
"BOB_SPR_SNT","Ezekre a utakra (pályákra) jelenleg cserét kérsz"
"BOB_SPR_ANT","Jelenleg minden útra (pályára) csere van alkalmazva"
"BOB_SPR_PCK","Jelenleg cserecsomag van alkalmazva"
"BOB_SPR_ADD","Ezt az elemet BOB adta hozzá, és nem része az eredeti elemnek"
"BOB_PCK_APP","Alkalmazza a csomagot"
"BOB_PCK_APP_A","Alkalmazza a kiválasztott cserecsomagot"
"BOB_PCK_APP_C","A csomag nem alkalmazható, mivel ütközik egy már alkalmazott csomaggal"
"BOB_PCK_APP_I","A csomag jelenleg érvényes"
"BOB_PCK_RVT","Csomag visszaállítása"
"BOB_PCK_RVT_A","A kiválasztott cserecsomag alkalmazásának visszavonása"
"BOB_PCK_RVT_I","A csomag jelenleg nincs alkalmazva"
"BOB_PCK_NAL","Nem minden csere érhető el"
"BOB_CFG_UCS","A mentéshez használd a kiválasztott konfigurációt (a globális konfiguráció helyett)."
"BOB_CFG_SAC","Az aktuális konfiguráció mentése"
"BOB_CFG_SSC","A kiválasztott konfiguráció másolása"
"BOB_CFG_SEC","Új üres konfiguráció"
"BOB_CFG_DEL","A kiválasztott konfiguráció törlése"
"BOB_CFG_LAA","Töltse be és alkalmazza a kiválasztott konfigurációt"
"BOB_CFG_LGL","Globális konfiguráció betöltése és alkalmazása"
"BOB_CFG_CLE","Tisztítsa meg az aktuális konfigurációt"
"BOB_CFG_CLE_TIP","Eltávolít minden hivatkozást a kirakott épületre, útra, prop és/vagy fára az aktuális konfigurációs fájlból"
"BOB_CFG_CMD","Térképadatok törlése"
"BOB_CFG_CMD_TIP","Eltávolítja a lecserélt önálló fák és kellékek rekordjait az aktuális mentési játékból. Azt jelenti, hogy többé nem tudod visszaállítani a térképcseréket (NEM érinti az épületekben vagy utakon lévő propot vagy fát)"
"BOB_OPT_GEN","Általános opciók"
"BOB_OPT_CFG","Konfigurációk"
"BOB_OPT_VIS","Vizuális effektek"
"BOB_OPT_RUI","Rombolás"
"BOB_OPT_WIR","Vezetékek"
"BOB_OPT_KEY","Gyorsbillentyű"
"BOB_OPT_DTK","Gyorsbillentyű"
"PRESS_ANY_KEY","Nyomj meg egy gombot!"
"BOB_OPT_RGL","A változások következő betöltéstől élnek"
"BOB_OPT_RRT","Kerülje el a fák általi rombolást"
"BOB_OPT_RRP","Kerülje el a prop általi rombolást"
"BOB_OPT_WTH","Vékonyabb elektromos vezetékek"
"BOB_NUKE","Az aktuális konfiguráció törlése"
"BOB_PER_IND","Alapértelmezés szerint az egyes elemek megjelenítése"
"BOB_PER_SIN","Mindig ki"
"BOB_PER_GRP","Mindig be"
"BOB_PER_LST","Előző választás megjegyzése"
"BOB_OPT_POS","Emlékezzen a panel előző helyzetére"
"BOB_OPT_DTT","A vanilla fa cseréjének letiltása az utakon"
"BOB_FIL_NAME","Keresés:"
"MES_PAGE","További információkért tekintsd meg a mod Steam Workshop oldalát."
"BOB_ERR_FAT","Ez azt jelenti, hogy a mod nem tud működni, és leállt."
"BOB_ERR_HAR","BOB, a fa és prop helyettesítő nem tudta befejezni a szükséges Harmony javításokat."
"ERR_HAR0","Harmony kapcsolódási hiba"
"ERR_HAR1","A probléma lehetséges okai a következők:"
"ERR_HAR2","A szükséges Harmony 2 nincs telepítve"
"ERR_HAR3","Egy régi és/vagy hibás mod megakadályozza a Harmony 2 megfelelő működését"
"RANDOM_TEMPLATE_MISSING","BOB nem tudott betölteni egy vagy több véletlenszerű sablonelemet:"
"PROP_TEMPLATE_MISSING","A BOB véletlenszerű kellékei nem működnek"
"TREE_TEMPLATE_MISSING","A BOB véletlenszerű fái nem működnek"
"BOB_UPD_040_0","Bemutatkozik a térkép-fa csere! A szokásos módon aktiváld a BOB modot, és kattints egy szabadon álló fára."
"BOB_UPD_041_0","Javítsd ki a szakaszos épületcsere panel kivételt a célelem megváltoztatásakor."
"BOB_UPD_042_0","Az alépületek kiválasztásának engedélyezése"
"BOB_UPD_042_1","Javítsd ki a lehetséges versenykörülményeket a játék terhelésekor"
"BOB_UPD_043_0","Javítsa ki a valószínűségi frissítést, amikor visszatér a teljes épületre vagy a hálózat egészére"
"BOB_UPD_043_1","Javítsa ki azokat a LOD-okat, amelyek nem frissülnek a teljes hálózat vagy az összes épület cseréjének visszaállítása után"
"BOB_UPD_043_2","Állítsa be az információs panel szövegmezői címkéit, hogy illeszkedjenek a hosszabb fordítási karakterláncokhoz"
"BOB_UPD_050_0","Az utak (pályák) cserecsomagjainak kezdeti alkalmazása"
"BOB_UPD_050_1","Most már megfelelően kompatibilis a Network Skins 2-vel"
"BOB_UPD_050_2","Gyorsabb cserefeldolgozás"
"BOB_UPD_051_0","Új fa/prop lista elrendezés, ikonokkal, amelyek jelzik, hogy melyik típusú csere aktív"
"BOB_UPD_052_0","A beállítások panelen keresztül elérhető konfigurációkezelés hozzáadása több különböző konfigurációs fájl kezeléséhez"
"BOB_UPD_060_0","Önálló prop csere"
"BOB_UPD_060_1","Jelöld ki a kiválasztott propokat vagy fákat"
"BOB_UPD_060_2","Mostantól kiválaszthatsz utakat (pályákat) az építményeken"
"BOB_UPD_060_3","Most már kiválaszthatsz dekorációs építményeket"
"BOB_UPD_060_4","Újratervezett kisebb cserepanel"
"BOB_UPD_061_0","Növekvő/csökkenő névrendezési szűrők hozzáadása a listákhoz"
"BOB_UPD_062_0","Adj hozzá lehetőséget a terepromlás eltávolítására minden fáról és/vagy kellékről (a beállítások panelen)"
"BOB_UPD_062_1","A kompútvonalak most kiválaszthatók (a kompútvonaljelző bóják módosításához/elrejtéséhez)"
"BOB_UPD_062_2","Javítsa ki azokat a úti támaszszögeket, amelyek néha hibásan jelennek meg a kiválasztáskor"
"BOB_UPD_080_0","Adj hozzá egyedi úti prop cserét"
"BOB_UPD_080_1","Egységes felhasználói felület (UUI) hozzáadása gomb"
"BOB_UPD_086_0","Adj hozzá lehetőséget a hálózatok vezetékeinek (távvezetékek és vasúti felsővezetékek) valósághűbbé tételéhez"
"BOB_UPD_090_0","A változtatások előnézete most valós időben történik"
"BOB_UPD_090_1","Váltás felhasználói felületre: választható a cseremódok közül a változtatások alkalmazása előtt"
"BOB_UPD_090_2","Váltás felhasználói felületre: egy dedikált „elrejtés” gomb, amely automatikusan nullára állítja a valószínűségeket"
"BOB_UPD_090_3","A fordítási keretrendszert frissítettük a CrowdIn használatára"
"BOB_UPD_090_4","A fáknak már nincs szögbeállítása, mivel ezt mindig felülírja a véletlenszerű faforgatást megvalósító mod"
"BOB_UPD_090_5","A különleges tulajdonságokkal rendelkező kellékek kezelésének javítása"
"BOB_UPD_090_6","Egyéb kisebb felhasználói felület és funkcionális fejlesztések"
"BOB_UPD_091_0","Kombinált támasz/fa mód – cserélje ki a kellékeket fákkal, vagy fordítva"
"BOB_UPD_091_1","Állítsa be a távolságot az ismétlődő út propok között (csak egyéni módban)"
"BOB_UPD_091_2","Földalatti mód az alagutak kiválasztásához (PageDown/PageUp váltáshoz)"
"BOB_UPD_091_3","A lámpák mostantól hozzáadhatók vagy eltávolíthatók a játékban (a fényeffektusok frissítéséhez már nincs szükség újraindításra)"
"BOB_UPD_091_4","A prop/fa pozíció kiemelése elhalványul a shift lenyomva tartása közben, és teljesen kikapcsol, ha lenyomod az alt gombot"
"BOB_UPD_092_0","Adj hozzá lehetőséget a játék fa eszközének útfacseréjének letiltásához. Ennek az opciónak a használata letiltja az eszköz hálózatra kapcsolás funkcióját, és lehetővé teszi a fák kézi elhelyezését az utak közelében (vagy az Anarchy mod használatával)."
"BOB_UPD_093_0","Főbb újdonság: kellékek hozzáadása az előregyártott épületekhez."
"BOB_UPD_093_1","Gyorsbillentyű hozzáadása a vaníliafa eszköz letiltásához (alapértelmezett Ctrl-Shift-T)"
"BOB_UPD_094_0","Főbb újdonság: kellékek hozzáadása a hálózati előregyártott elemekhez."
