"LANGUAGE","한국어"
"BOB_NAM","BOB: 나무와 프롭 교체기"
"BOB_DESC","개발 중: 나무와 소품을 교체합니다."
"TRN_CHOICE","언어 설정"
"LANGUAGE_GAME","게임 언어 사용"
"NOTE_CLOSE","닫기"
"NOTE_DONTSHOWAGAIN","다시 표시하지 않기"
"BOB_ROW_WAS","기존:"
"BOB_PNL_NOP","발견된 프롭 없음"
"BOB_PNL_NOT","발견된 나무 없음"
"BOB_PNL_TRE","나무"
"BOB_PNL_PRP","프롭"
"BOB_PNL_BOT","나무와 프롭"
"BOB_PNL_HDV","바닐라 숨기기"
"BOB_PNL_ACT","액션"
"BOB_PNL_MOD","교체 모드"
"BOB_PNL_LAN","라인 설정"
"BOB_PNL_LAN_TIP","수정할 네트워크에서 특정 차선을 선택하거나 모든 차선을 표시하도록 선택합니다."
"BOB_PNL_LAN_ALL","모든 라인"
"BOB_PNL_FUN","추가 기능"
"BOB_PNL_M_PIB","이 건물들의 개별 프롭"
"BOB_PNL_M_PGB","이 건물들의 이 유형의 모든 프롭"
"BOB_PNL_M_PAB","모든 건물의 이 유형의 모든 프롭"
"BOB_PNL_M_TIB","이 건물들의 개별 나무"
"BOB_PNL_M_TGB","이 건물들의 이 유형의 모든 나무"
"BOB_PNL_M_TAB","모든 건물의 이 유형의 모든 나무"
"BOB_PNL_M_PIN","이 네트워크들의 개별 프롭"
"BOB_PNL_M_PGN","이 네트워크들의 이 유형의 모든 프롭"
"BOB_PNL_M_PAN","모든 네트워크의 이 유형의 모든 프롭"
"BOB_PNL_M_TIN","이 네트워크들의 개별 나무"
"BOB_PNL_M_TGN","이 네트워크들의 이 유형의 모든 나무"
"BOB_PNL_M_TAN","모든 네트워크의 이 유형의 모든 나무"
"BOB_PNL_RTB","이 건물들"
"BOB_PNL_RAB","모든 건물"
"BOB_PNL_RTN","이 네트워크들"
"BOB_PNL_RAN","모든 네트워크"
"BOB_PNL_RTT","맵 나무"
"BOB_PNL_RTP","맵 프롭"
"BOB_PNL_RSW","랜덤 표시"
"BOB_PNL_RST","랜덤 설정"
"BOB_PNL_SCA","프롭과 나무 스케일링"
"BOB_PNL_APP","변경 적용 및 저장"
"BOB_PNL_REV","되돌리기"
"BOB_PNL_ADD","새로운 프롭 만들기 "
"BOB_PNL_REM","추가된 프롭 제거"
"BOB_PNL_REV_UND","선택된 교체 되돌리기"
"BOB_PNL_REV_TIP","이 아이템에 활성화된 교체가 없으므로 되돌릴 수 없습니다"
"BOB_PNL_HID","이 항목 숨기기(확률을 0으로 설정)"
"BOB_PNL_PKB","교체 팩"
"BOB_PNL_PRB","확률"
"BOB_PNL_ANG","각도"
"BOB_PNL_OFF","오프셋"
"BOB_PNL_HEI","높이"
"BOB_PNL_CUH","커스텀"
"BOB_PNL_CUH_TIP","이 옵션을 선택하면 지정된 사용자 지정 높이 오프셋이 사용됩니다 (기본 프롭 높이를 사용하는 대신)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","간격"
"BOB_PNL_REP_TIP","개체 사이 거리"
"BOB_PNL_SUB","서브-빌딩"
"BOB_RND_TIT","랜덤 나무와 프롭 구성"
"BOB_RND_NEW","새로 만들기"
"BOB_RND_DEL","삭제"
"BOB_RND_REN","이름 변경"
"BOB_RND_ADD","변형에 추가"
"BOB_RND_SUB","변형에서 제거"
"BOB_SCA_TIT","프롭 스케일링 구성"
"BOB_SCA_MIN","최소 크기"
"BOB_SCA_MAX","최대 크기"
"BOB_SPR_SBL","현재 교체가 이 건물들에 적용됨"
"BOB_SPR_ABL","현재 교체가 모든 건물에 적용됨"
"BOB_SPR_SNT","현재 교체가 이 네트워크들에 적용됨"
"BOB_SPR_ANT","현재 교체가 모든 네트워크에 적용됨"
"BOB_SPR_PCK","현재 교체 팩이 적용됨"
"BOB_SPR_ADD","이 항목은 BOB모드에 의해 추가되었으며 원래 자산의 일부가 아닙니다."
"BOB_PCK_APP","팩 적용"
"BOB_PCK_APP_A","선택한 교체 팩을 적용합니다"
"BOB_PCK_APP_C","이미 적용된 팩과 충돌하므로 팩을 적용할 수 없습니다"
"BOB_PCK_APP_I","현재 팩이 적용됨"
"BOB_PCK_RVT","팩 되돌리기"
"BOB_PCK_RVT_A","선택한 교체 팩을 적용하지 않기"
"BOB_PCK_RVT_I","현재 팩이 적용되지 않음"
"BOB_PCK_NAL","모든 교체가 이용가능하지 않습니다"
"BOB_CFG_UCS","이 세이브에 선택한 구성 사용(전역 구성 대신)"
"BOB_CFG_SAC","현재 구성 저장"
"BOB_CFG_SSC","선택된 구성 복사"
"BOB_CFG_SEC","새 빈 구성 만들기"
"BOB_CFG_DEL","선택된 구성 삭제"
"BOB_CFG_LAA","선택된 구성을 불러오고 저장"
"BOB_CFG_LGL","전역 구성을 불러오고 저장"
"BOB_CFG_CLE","현재 구성 비우기"
"BOB_CFG_CLE_TIP","현재 구성 파일에서 언로드된 건물, 네트워크, 프롭 및/또는 나무에 대한 참조를 제거합니다"
"BOB_CFG_CMD","맵 데이터 지우기"
"BOB_CFG_CMD_TIP","현재 세이브의 개별 나무와 프롭 교체 기록을 제거합니다. 더 이상 맵 교체를 되돌릴 수 없음을 의미합니다(건물 또는 네트워크의 프롭이나 나무에는 영향을 미치지 않음)"
"BOB_OPT_GEN","일반 옵션"
"BOB_OPT_CFG","구성"
"BOB_OPT_VIS","시각적 효과"
"BOB_OPT_RUI","Ruining"
"BOB_OPT_WIR","와이어"
"BOB_OPT_KEY","단축키"
"BOB_OPT_DTK","단축키"
"PRESS_ANY_KEY","아무 키나 누르세요"
"BOB_OPT_RGL","변경은 재시작 시 적용됩니다"
"BOB_OPT_RRT","나무에 의한 ruin 생성 방지"
"BOB_OPT_RRP","프롭에 의한 ruin 생성 방지"
"BOB_OPT_WTH","얇아진 전선"
"BOB_NUKE","현재 구성 비우기"
"BOB_PER_IND","기본적으로 개별 아이템 표시"
"BOB_PER_SIN","언제나 끄기"
"BOB_PER_GRP","언제나 켜기"
"BOB_PER_LST","이전 설정을 기억하기"
"BOB_OPT_POS","이전 패널 위치를 기억하기"
"BOB_OPT_DTT","네트워크 나무 교체 바닐라 기능 비활성화"
"BOB_FIL_NAME","검색:"
"MES_PAGE","자세한 내용은 모드의 스팀 창작마당 페이지를 참고하십시오."
"BOB_ERR_FAT","즉, 모드를 작동할 수 없고 종료되었다는 의미입니다."
"BOB_ERR_HAR","BOB, the tree and prop replacer가 필요한 Harmony 패치를 완료할 수 없습니다."
"ERR_HAR0","Harmony 패치 에러"
"ERR_HAR1","이 문제의 가능한 원인은 다음과 같습니다:"
"ERR_HAR2","필요한 Harmony 2 모드 종속성이 설치되지 않았습니다."
"ERR_HAR3","오래되거나 고장난 모드가 Harmony 2의 적절한 작동을 방해합니다."
"RANDOM_TEMPLATE_MISSING","BOB에서 하나 이상의 무작위 템플릿 에셋을 불러올 수 없었습니다."
"PROP_TEMPLATE_MISSING","BOB 무작위 프롭 기능이 작동하지 않을 수 있습니다"
"TREE_TEMPLATE_MISSING","BOB 무작위 나무 기능이 작동하지 않을 수 있습니다"
"BOB_UPD_040_0","맵 나무 교체를 소개합니다! 평소처럼 BOB 도구를 활성화하고 독립형 나무를 클릭하세요."
"BOB_UPD_041_0","대상 아이템 변경 시 간헐적인 건물 교체 패널 예외 수정."
"BOB_UPD_042_0","서브-빌딩 선택 활성화"
"BOB_UPD_042_1","게임 로드에 따른 잠재적 레이스 조건 수정"
"BOB_UPD_043_0","모든 구성 또는 모든 네트워크 교체로 되돌릴 때 확률 새로고침 수정"
"BOB_UPD_043_1","모든 네트워크 또는 모든 건물 교체 후 LOD가 새로 고쳐지지 않음 수정"
"BOB_UPD_043_2","긴 번역 문자열에 맞게 정보 패널 텍스트 필드 레이블 조정"
"BOB_UPD_050_0","네트워크 교체 팩의 초기 구현"
"BOB_UPD_050_1","이제 네트워크 스킨 2와 제대로 호환됩니다"
"BOB_UPD_050_2","더 빠른 교체 처리"
"BOB_UPD_051_0","어떤 유형의 교체가 활성화되어있는지 알려주는 아이콘이 있는 새 나무/프롭 목록 레이아웃"
"BOB_UPD_052_0","옵션 패널을 통해 액세스할 수 있는 여러 구성 파일을 처리하기 위한 구성 관리 추가"
"BOB_UPD_060_0","독립형 프롭 교체"
"BOB_UPD_060_1","선택된 프롭이나 나무에 대한 하이라이트"
"BOB_UPD_060_2","이제 건물의 네트워크를 선택할 수 있습니다"
"BOB_UPD_060_3","이제 장식 건물을 선택할 수 있습니다"
"BOB_UPD_060_4","리디자인된 작은 교체 패널"
"BOB_UPD_061_0","목록에 오름차순/내림차순 이름 정렬 필터 추가"
"BOB_UPD_062_0","모든 나무 및/또는 프롭에서 지형 ruining을 제거하는 기능 추가(옵션 패널 안)"
"BOB_UPD_062_1","이제 페리 경로를 선택할 수 있습니다 (페리 경로 마커 부표를 변경/숨기기 위해)"
"BOB_UPD_062_2","선택 시 네트워크 프롭 각도가 가끔 잘못 표시됨 수정"
"BOB_UPD_080_0","개별 네트워크 프롭 교체 추가"
"BOB_UPD_080_1","Unified UI (UUI) 버튼 추가"
"BOB_UPD_086_0","네트워크의 와이어(전선 및 철도 가선)의 크기를 더 현실적으로 만들기 위한 옵션 추가"
"BOB_UPD_090_0","이제 변경사항을 실시간으로 미리 볼 수 있음"
"BOB_UPD_090_1","사용자 인터페이스 변경: 변경 내용을 적용하기 전에 교체 모드 선택"
"BOB_UPD_090_2","사용자 인터페이스 변경: 자동으로 확률을 0으로 설정하는 전용 '숨기기' 버튼"
"BOB_UPD_090_3","번역 프레임워크를 CrowdIn 사용으로 업데이트"
"BOB_UPD_090_4","나무는 더 이상 각도 설정을 가지지 않음"
"BOB_UPD_090_5","특별한 속성을 가진 프롭 처리 개선"
"BOB_UPD_090_6","기타 사소한 UI 및 기능 개선"
"BOB_UPD_091_0","합쳐진 프롭/트리 모드 - 프롭을 나무로 교체하거나 그 반대도 가능"
"BOB_UPD_091_1","반복되는 네트워크 프롭 사이의 간격 조정하기 (개별 모드에서만 해당)"
"BOB_UPD_091_2","터널을 선택하기 위한 지하 모드 (PageDown/PageUp으로 전환)"
"BOB_UPD_091_3","인게임에서 조명을 추가하거나 제거할 수 있습니다 (더 이상 조명 효과 업데이트를 위해 재시작이 필요하지 않습니다)"
"BOB_UPD_091_4","프롭/나무 위치 강조표시는 Shift를 누를 때 진하게 표시되고 Alt를 누를 때 완전히 꺼집니다"
"BOB_UPD_092_0","게임의 도로 나무 교체 기능을 비활성화하는 옵션 추가. 이 옵션을 사용하면 도구의 네트워크로 스냅하는 기능이 비활성화되고 도로 주변(또는 위에, 아나키 모드를 사용하여)에 직접 나무를 배치할수 있게 합니다."
"BOB_UPD_093_0","주요 새로운 기능: 해당 건물에 조립식 소품을 추가합니다."
"BOB_UPD_093_1","바로 가기 키를 추가하여 바닐라 트리 도구 사용 안 함(기본값 Ctrl-Shift-T)"
"BOB_UPD_094_0","주요 신기능: 네트워크 프리탭에 소품 추가."
