"CODE","nl"
"NAME","Nederlands"
"BOB_NAM","BOB: de boom en prop vervanger"
"BOB_DESC","IN ONTWIKKELING: Vervangt bomen en props."
"TRN_CHOICE","Taal instellen"
"TRN_SYS","Gebruik speltaal"
"MES_CLS","Sluiten"
"MES_DSA","Niet opnieuw weergeven"
"BOB_MBX_OK","OK"
"BOB_ROW_WAS","was"
"BOB_PNL_NOP","Geen props gevonden"
"BOB_PNL_NOT","Geen bomen gevonden"
"BOB_PNL_TRE","Bomen"
"BOB_PNL_PRP","Props"
"BOB_PNL_BOT","Zowel bomen als props"
"BOB_PNL_IND","VERWIJDER Toon individuele props"
"BOB_PNL_HDV","Verberg vanilla"
"BOB_PNL_ACT","Acties"
"BOB_PNL_MOD","Vervangingsmodus"
"BOB_PNL_LAN","Selecteer rijstrook"
"BOB_PNL_LAN_TIP","Selecteer een specifieke rijstrook in het netwerk om deze te wijzigen, of geef alle rijstroken weer"
"BOB_PNL_LAN_ALL","Alle rijstroken"
"BOB_PNL_FUN","Extra functies"
"BOB_PNL_M_PIB","Individuele props in deze gebouwen"
"BOB_PNL_M_PGB","Alle props van dit soort in deze gebouwen"
"BOB_PNL_M_PAB","Alle props van dit type in alle gebouwen"
"BOB_PNL_M_TIB","Individuele bomen in deze gebouwen"
"BOB_PNL_M_TGB","Alle bomen van dit soort in deze gebouwen"
"BOB_PNL_M_TAB","Alle bomen van dit soort in alle gebouwen"
"BOB_PNL_M_PIN","Individuele props in deze netwerken"
"BOB_PNL_M_PGN","Alle props van dit type in deze netwerken"
"BOB_PNL_M_PAN","Alle props van dit type in alle netwerken"
"BOB_PNL_M_TIN","Individuele bomen in deze netwerken"
"BOB_PNL_M_TGN","Alle bomen van dit soort in deze netwerken"
"BOB_PNL_M_TAN","Alle bomen van dit soort in alle netwerken"
"BOB_PNL_RTB","VERWIJDER Deze gebouwen"
"BOB_PNL_RAB","VERWIJDER Alle gebouwen"
"BOB_PNL_RTN","VERWIJDER Deze netwerken"
"BOB_PNL_RAN","VERWIJDER Alle netwerken"
"BOB_PNL_RTT","Bomen op de kaart"
"BOB_PNL_RTP","Props op de kaart"
"BOB_PNL_RSW","Toon willekeurige"
"BOB_PNL_RST","Willekeurige configuratie"
"BOB_PNL_SCA","Schalen van props en bomen"
"BOB_PNL_APP","Wijzigingen toepassen en opslaan"
"BOB_PNL_REV","Terugzetten"
"BOB_PNL_ADD","Nieuwe prop toevoegen"
"BOB_PNL_REM","Toegevoegde prop verwijderen"
"BOB_PNL_REV_UND","Geselecteerde vervanging ongedaan maken"
"BOB_PNL_REV_TIP","Terugzetten is niet beschikbaar omdat er geen actieve vervanging is voor dit item"
"BOB_PNL_HID","Verberg dit item (stelt waarschijnlijkheid in op nul)"
"BOB_PNL_PKB","Vervangingspakketten"
"BOB_PNL_PRB","Waarschijnlijkheid"
"BOB_PNL_ANG","Hoek"
"BOB_PNL_OFF","Verschuiving"
"BOB_PNL_HEI","Hoogte"
"BOB_PNL_CUH","Aangepast"
"BOB_PNL_CUH_TIP","Als dit is geselecteerd, wordt de opgegeven aangepaste hoogteverschuiving gebruikt (in plaats van de standaard prop hoogte)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Afstand"
"BOB_PNL_REP_TIP","Afstand tussen instanties"
"BOB_PNL_SUB","Sub-gebouwen"
"BOB_RND_TIT","configureer willekeurige bomen en props"
"BOB_RND_NEW","Nieuw"
"BOB_RND_DEL","Verwijder"
"BOB_RND_REN","Naam Wijzigen"
"BOB_RND_ADD","Aan variaties toevoegen"
"BOB_RND_SUB","Verwijder uit variaties"
"BOB_SCA_TIT","configureer prop-schaling"
"BOB_SCA_MIN","Minimum voor schaling"
"BOB_SCA_MAX","Maximum voor schaling"
"BOB_SPR_SBL","Er wordt reeds een vervanging toegepast voor deze gebouwen"
"BOB_SPR_ABL","Er wordt reeds een vervanging toegepast voor alle gebouwen"
"BOB_SPR_SNT","Er wordt reeds een vervanging toegepast voor deze netwerken"
"BOB_SPR_ANT","Er wordt reeds een vervanging toegepast voor alle netwerken"
"BOB_SPR_PCK","Er wordt reeds een vervanging toegepast"
"BOB_SPR_ADD","Dit item is toegevoegd door BOB en maakt geen deel uit van de oorspronkelijke asset"
"BOB_PCK_APP","Pakket toepassen"
"BOB_PCK_APP_A","Past het geselecteerde vervangingspakket toe"
"BOB_PCK_APP_C","Pakket kan niet worden toegepast omdat het een conflict geeft met een pakket dat reeds is toegepast"
"BOB_PCK_APP_I","Pakket wordt reeds toegepast"
"BOB_PCK_RVT","Pakket terugzetten"
"BOB_PCK_RVT_A","Maakt het toepassen van het geselecteerde vervangingspakket ongedaan"
"BOB_PCK_RVT_I","Pakket wordt momenteel niet toegepast"
"BOB_PCK_NAL","Niet alle vervangingen zijn beschikbaar"
"BOB_CFG_UCS","Gebruik geselecteerde configuratie (in plaats van de algemene configuratie) voor deze save"
"BOB_CFG_SAC","Huidige configuratie opslaan"
"BOB_CFG_SSC","Geselecteerde configuratie kopiëren"
"BOB_CFG_SEC","Nieuwe lege configuratie"
"BOB_CFG_DEL","Geselecteerde configuratie verwijderen"
"BOB_CFG_LAA","Geselecteerde configuratie laden en toepassen"
"BOB_CFG_LGL","Laad de algemene configuratie en pas toe"
"BOB_CFG_CLE","Huidige configuratie opschonen"
"BOB_CFG_CLE_TIP","Verwijdert elke verwijzing naar niet geladen gebouwen"
"BOB_CFG_CMD","Kaartgegevens leegmaken"
"BOB_CFG_CMD_TIP","Verwijdert registraties van vrijstaande bomen en props die zijn vervangen in de huidige savegame. Je kunt dan geen vervangingen ongedaan maken die eerder op de hele kaart zijn toegepast (heeft GEEN invloed op de props of bomen in gebouwen of netwerken)"
"BOB_OPT_GEN","Algemene opties"
"BOB_OPT_CFG","Configuraties"
"BOB_OPT_VIS","Visuele effecten"
"BOB_OPT_RUI","Ruining"
"BOB_OPT_WIR","Kabels"
"BOB_OPT_KEY","Sneltoets"
"BOB_OPT_DTK","Sneltoets"
"BOB_OPT_PRS","Druk op een willekeurige toets"
"BOB_OPT_RGL","Wijzigingen worden van kracht na herstart"
"BOB_OPT_RRT","Voorkom ruining door bomen"
"BOB_OPT_RRP","Voorkom ruining door props"
"BOB_OPT_WTH","Dunnere elektrische kabels"
"BOB_NUKE","Huidige configuratie leegmaken"
"BOB_PER_IND","Individuele items standaard weergeven"
"BOB_PER_SIN","Altijd uit"
"BOB_PER_GRP","Altijd aan"
"BOB_PER_LST","Vorige instelling onthouden"
"BOB_OPT_POS","Vorige positie van paneel onthouden"
"BOB_OPT_DTT","Uitschakelen van vanilla tool voor het vervangen van bomen op netwerken"
"BOB_FIL_NAME","Zoeken:"
"MES_PAGE","Zie voor meer informatie de Steam Workshop pagina van deze mod."
"BOB_ERR_FAT","Dit betekent dat de mod niet kan functioneren en is gestopt."
"BOB_ERR_HAR","BOB, de boom en prop vervanger, kon de vereiste Harmony patches niet voltooien."
"ERR_HAR0","Harmony patchfout"
"ERR_HAR1","Mogelijke oorzaken van dit probleem zijn:"
"ERR_HAR2","De benodigde Harmony 2 mod afhankelijkheid is niet geïnstalleerd"
"ERR_HAR3","Een oude en/of beschadigde mod voorkomt dat Harmony 2 naar behoren kan functioneren"
"BOB_UPD_040_0","Nu ook boom vervanging op de kaart! Activeer de BOB tool zoals gewoonlijk en klik op een vrijstaande boom."
"BOB_UPD_041_0","Fix intermitterende uitzondering van het gebouw vervangingspaneel tijdens het wijzigen van doelitem."
"BOB_UPD_042_0","Selectie van sub-gebouwen inschakelen"
"BOB_UPD_042_1","Fix potentiële conflicten tijdens het laden van de game"
"BOB_UPD_043_0","Fix verversen van waarschijnlijkheid bij het terugzetten NAAR een vervanging voor alle gebouwen/ alle netwerken"
"BOB_UPD_043_1","Fix LODs verversen niet na het terugzetten van een vervanging voor alle gebouwen/alle netwerken"
"BOB_UPD_043_2","Pas tekst veld labels in het infopaneel aan zodat langere vertalingen passen"
"BOB_UPD_050_0","Eerste implementatie van netwerk vervangingspakketten"
"BOB_UPD_050_1","Nu netjes compatibel met Network Skins 2"
"BOB_UPD_050_2","Snellere verwerking van vervangingen"
"BOB_UPD_051_0","Nieuwe lay-out van de lijst met bomen/props, met iconen om aan te geven welk type vervanging actief is"
"BOB_UPD_052_0","Configuratiebeheer toevoegen voor het omgaan met meerdere verschillende configuratiebestanden, beschikbaar in het opties paneel"
"BOB_UPD_060_0","Vervanging van vrijstaande props"
"BOB_UPD_060_1","Geselecteerde props of bomen markeren"
"BOB_UPD_060_2","Kan nu netwerken selecteren in gebouwen"
"BOB_UPD_060_3","Kan nu decoratie gebouwen selecteren"
"BOB_UPD_060_4","Opnieuw ontworpen kleiner vervangingspaneel"
"BOB_UPD_061_0","Voeg op-/aflopende sortering op naam toe aan filters"
"BOB_UPD_062_0","Voeg de mogelijkheid toe om ruine textuur bij alle bomen en/of props te verwijderen (in het optiespaneel)"
"BOB_UPD_062_1","Het is nu mogelijk om veerbootroutes te selecteren (om boei-markeringen te wijzigen/verbergen)"
"BOB_UPD_062_2","Fix hoeken van netwerkprops worden soms onjuist weergegeven na selectie"
"BOB_UPD_080_0","Vervanging van props aan individuele netwerken toegevoegd"
"BOB_UPD_080_1","Unified UI (UUI) knop toegevoegd"
"BOB_UPD_086_0","Optie toegevoegd om de afmeting van kabels in netwerken (stroomkabels en bovenleidingen) meer realistisch te maken"
"BOB_UPD_090_0","Wijzigingen worden nu voorvertoond in real-time"
"BOB_UPD_090_1","Wijziging van gebruikersinterface: kies tussen vervanginsmodi voordat je wijzigingen toepast"
"BOB_UPD_090_2","Wijziging van gebruikersinterface: een speciale ""verberg' knop om de waarschijnlijkheid automatisch naar nul te zetten"
"BOB_UPD_090_3","Raamwerk voor vertalingen is bijgewerkt voor het gebruik van CrowdIn"
"BOB_UPD_090_4","Bomen hebben geen hoekinstellingen meer"
"BOB_UPD_090_5","Verbeterde verwerking van props met speciale kenmerken"
"BOB_UPD_090_6","Andere kleine UI en functionele verbeteringen"
"BOB_UPD_091_0","Gecombineerde prop/boom modus - Vervang props door bomen, of omgekeerd"
"BOB_UPD_091_1","Aanpassen van afstand tussen herhaalde netwerk props (enkel individuele modus)"
"BOB_UPD_091_2","Ondergrondse modus om tunnels te selecteren (PageDown/PageUp om te wisselen)"
"BOB_UPD_091_3","Lichten kunnen nu in het spel worden toegevoegd of verwijderd (opnieuw opstarten is niet langer nodig om de lichteffecten bij te werken)"
"BOB_UPD_091_4","Markeren van props/bomen wordt gedempt als Shift wordt ingedrukt, en volledig uitgeschakeld als Alt wordt ingedrukt"
"BOB_UPD_092_0","Optie toegevoegd om de vanilla tool uit te schakelen voor het vervangen van bomen op netwerken. Deze optie schakelt de ""Snap-to-Network"" functie van de vanilla tool uit, zodat je handmatig bomen kunt plaatsen bij wegen (of op wegen als je een Anarchy-mod gebruikt)."
"BOB_UPD_093_0","Belangrijke nieuwe functie: Voeg props toe aan gebouwen."
"BOB_UPD_093_1","Sneltoets toegevoegd om de vanilla boom-tool uit te schakelen (standaard Ctrl+Shift+T)"
"BOB_UPD_094_0","Belangrijke nieuwe functie: voeg props toe aan netwerken."
