"LANGUAGE","Português Brasileiro"
"BOB_NAM","BOB: o substituto de árvore e adereço"
"BOB_DESC","Substitui árvores e adereços."
"TRN_CHOICE","Definir idioma"
"LANGUAGE_GAME","Usar idioma do jogo"
"NOTE_CLOSE","Fechar"
"NOTE_DONTSHOWAGAIN","Não mostrar novamente"
"BOB_ROW_WAS","foi"
"BOB_PNL_NOP","Nenhum adereço encontrado"
"BOB_PNL_NOT","Nenhuma árvore encontrada"
"BOB_PNL_TRE","Árvores"
"BOB_PNL_PRP","Adereço"
"BOB_PNL_BOT","Ambas as árvores e adereços"
"BOB_PNL_HDV","Ocultar vanilla"
"BOB_PNL_ACT","Ações"
"BOB_PNL_MOD","Modo de substituição"
"BOB_PNL_LAN","Selecione a faixa"
"BOB_PNL_LAN_TIP","Selecione uma faixa específica na rede para modificação ou escolha mostrar todas as faixas"
"BOB_PNL_LAN_ALL","Todas as faixas"
"BOB_PNL_FUN","Funções extras"
"BOB_PNL_M_PIB","Props individuais nestes edifícios"
"BOB_PNL_M_PGB","Todos os props deste tipo nestes edifícios"
"BOB_PNL_M_PAB","Todos os props desse tipo em todos os edifícios"
"BOB_PNL_M_TIB","Árvores individuais nestes edifícios"
"BOB_PNL_M_TGB","Todas as árvores deste tipo nestes edifícios"
"BOB_PNL_M_TAB","Todas as árvores deste tipo em todos os edifícios"
"BOB_PNL_M_PIN","Props individuais nessas redes"
"BOB_PNL_M_PGN","Todos os props deste tipo nestas redes"
"BOB_PNL_M_PAN","Todos os props deste tipo em todas as redes"
"BOB_PNL_M_TIN","Árvores individuais nestas redes"
"BOB_PNL_M_TGN","Todas as árvores deste tipo nestas redes"
"BOB_PNL_M_TAN","Todas as árvores deste tipo em todas as redes"
"BOB_PNL_RTB","REMOVER Estes edifícios"
"BOB_PNL_RAB","REMOVER Todos os edifícios"
"BOB_PNL_RTN","REMOVER Estas redes"
"BOB_PNL_RAN","REMOVER todas as redes"
"BOB_PNL_RTT","Árvores do mapa"
"BOB_PNL_RTP","Props do mapa"
"BOB_PNL_RSW","Mostrar aleatoriamente"
"BOB_PNL_RST","Configuração aleatória"
"BOB_PNL_SCA","Escala de prop e árvores"
"BOB_PNL_APP","Aplicar e salvar as alterações"
"BOB_PNL_REV","Desfazer"
"BOB_PNL_ADD","Adicionar novo prop"
"BOB_PNL_REM","Remover prop adicionada"
"BOB_PNL_REV_UND","Desfazer a substituição selecionada"
"BOB_PNL_REV_TIP","O reverter não está disponível, pois não há nenhum substituto ativo para este item"
"BOB_PNL_HID","Ocultar este item (define a probabilidade para zero)"
"BOB_PNL_PKB","Pacotes de substituição"
"BOB_PNL_PRB","Probabilidade"
"BOB_PNL_ANG","Ângulo"
"BOB_PNL_OFF","Deslocamento"
"BOB_PNL_HEI","Altura"
"BOB_PNL_CUH","Personalizado"
"BOB_PNL_CUH_TIP","Se isso for selecionado, o deslocamento de altura personalizado especificado será usado (em vez de usar a altura padrão do suporte)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Espaçamento"
"BOB_PNL_REP_TIP","Distância entre instâncias"
"BOB_PNL_SUB","Sub-construções"
"BOB_RND_TIT","configurar árvores e props aleatórios"
"BOB_RND_NEW","Novo"
"BOB_RND_DEL","Deletar"
"BOB_RND_REN","Renomear"
"BOB_RND_ADD","Adicionar à variações"
"BOB_RND_SUB","Remover das variações"
"BOB_SCA_TIT","configurar dimensionamento de prop"
"BOB_SCA_MIN","Escala mínima"
"BOB_SCA_MAX","Escala máxima"
"BOB_SPR_SBL","Uma substituição é aplicada atualmente para estes edifícios"
"BOB_SPR_ABL","Uma substituição é aplicada atualmente para todos os edifícios"
"BOB_SPR_SNT","Uma substituição está atualmente aplicada para estas redes"
"BOB_SPR_ANT","Uma substituição está atualmente aplicada para todas as redes"
"BOB_SPR_PCK","Um pacote de substituição está atualmente aplicado"
"BOB_SPR_ADD","Este item é adicionado pelo BOB e não faz parte do recurso original"
"BOB_PCK_APP","Aplicar pacote"
"BOB_PCK_APP_A","Aplica o pacote de substituição selecionado"
"BOB_PCK_APP_C","O pacote não pode ser aplicado pois está em conflito com um pacote já aplicado"
"BOB_PCK_APP_I","O pacote está atualmente aplicado"
"BOB_PCK_RVT","Reverter pacote"
"BOB_PCK_RVT_A","Desaplica o pacote de substituição selecionado"
"BOB_PCK_RVT_I","O pacote não está aplicado no momento"
"BOB_PCK_NAL","Nem todos os substitutos estão disponíveis"
"BOB_CFG_UCS","Use a configuração selecionada (em vez da configuração global) para este salvamento"
"BOB_CFG_SAC","Salvar a configuração atual"
"BOB_CFG_SSC","Copiar a configuração selecionada"
"BOB_CFG_SEC","Nova configuração vazia"
"BOB_CFG_DEL","Excluir configuração selecionada"
"BOB_CFG_LAA","Carregar e aplicar a configuração selecionada"
"BOB_CFG_LGL","Carregar e aplicar configuração global"
"BOB_CFG_CLE","Limpar a configuração atual"
"BOB_CFG_CLE_TIP","Remove quaisquer referências não carregadas de edifícios, redes, props e/ou árvores do arquivo de configuração atual"
"BOB_CFG_CMD","Limpar dados do mapa"
"BOB_CFG_CMD_TIP","Remove registros de árvores e props independentes substituídos do jogo salvo atual. Isso significa que você não pode mais reverter as substituições de mapas (NÃO afeta adereços ou árvores em edifícios ou redes)"
"BOB_OPT_GEN","Opções gerais"
"BOB_OPT_CFG","Configurações"
"BOB_OPT_VIS","Efeitos visuais"
"BOB_OPT_RUI","Ruína"
"BOB_OPT_WIR","Fios"
"BOB_OPT_KEY","Tecla de Atalho"
"BOB_OPT_DTK","Tecla de Atalho"
"PRESS_ANY_KEY","Pressione qualquer tecla"
"BOB_OPT_RGL","As alterações terão efeito ao reiniciar"
"BOB_OPT_RRT","Previnir ruínas por árvores"
"BOB_OPT_RRP","Previnir ruínas por props"
"BOB_OPT_WTH","Fios elétricos mais finos"
"BOB_NUKE","Limpar a configuração atual"
"BOB_PER_IND","Mostrar itens individuais por padrão"
"BOB_PER_SIN","Sempre desligado"
"BOB_PER_GRP","Sempre ligado"
"BOB_PER_LST","Lembrar configuração anterior"
"BOB_OPT_POS","Lembrar a posição anterior do painel"
"BOB_OPT_DTT","Desativar a substituição de árvore vanilla pela árvore de rede de ferramentas"
"BOB_FIL_NAME","Procurar:"
"MES_PAGE","Por favor, consulte a página deste mod na Oficina Steam para mais informações."
"BOB_ERR_FAT","Isto significa que o mod não é capaz de operar e foi desligado."
"BOB_ERR_HAR","BOB, o substituto de árvore e props, não conseguiu completar os patches necessários do Harmony."
"ERR_HAR0","Erro de patch do Harmony"
"ERR_HAR1","As possíveis causas deste problema incluem:"
"ERR_HAR2","A dependência necessária do mod Harmony 2 não foi instalada"
"ERR_HAR3","Um mod desatualizado e/ou quebrado está impedindo que o Harmony 2 funcione corretamente"
"RANDOM_TEMPLATE_MISSING","BOB não conseguiu carregar um ou mais modelos aleatórios:"
"PROP_TEMPLATE_MISSING","Props aleatórios do BOB não funcionarão"
"TREE_TEMPLATE_MISSING","Árvores aleatórias do BOB não funcionarão"
"BOB_UPD_040_0","Apresentando a substituição da árvore de mapas! Ative a ferramenta BOB como de costume e clique em uma árvore independente."
"BOB_UPD_041_0","Corrigir exceção de painel de substituição de construção intermitente ao mudar o item alvo."
"BOB_UPD_042_0","Habilitar seleção de sub-edifícios"
"BOB_UPD_042_1","Corrige possíveis condições de corrida no carregamento do jogo"
"BOB_UPD_043_0","Corrigir probabilidade de atualização quando reverter para uma substituição de toda a construção ou toda rede"
"BOB_UPD_043_1","Corrigir LODs que não são atualizados após reverter substituições de toda a rede ou de todos os edifícios"
"BOB_UPD_043_2","Ajustar rótulos de texto do painel de informações para caber mais textos de tradução"
"BOB_UPD_050_0","Implementação inicial de pacotes de substituição de rede"
"BOB_UPD_050_1","Agora devidamente compatível com Network Skins 2"
"BOB_UPD_050_2","Processamento rápido de substituição"
"BOB_UPD_051_0","Novo layout de lista de árvore/prop, com ícones para indicar qual tipo de substituição está ativa"
"BOB_UPD_052_0","Adicione gerenciamento de configurações para lidar com vários arquivos de configuração diferentes, acessíveis através do painel de opções"
"BOB_UPD_060_0","Substituição de prop independente"
"BOB_UPD_060_1","Destacar props ou árvores selecionados"
"BOB_UPD_060_2","Agora é possível selecionar redes em edifícios"
"BOB_UPD_060_3","Agora é possível selecionar edifícios de decoração"
"BOB_UPD_060_4","Painel menor de substituição redesenhado"
"BOB_UPD_061_0","Adicionar filtros de classificação de nome ascendente/descendente às listas"
"BOB_UPD_062_0","Adicionar a capacidade de remover a ruína do terreno de todas as árvores e/ou props (no painel de opções)"
"BOB_UPD_062_1","Caminhos de balsa agora são selecionáveis ​​(para alterar/ocultar essas bóias de marcador de caminho de balsa)"
"BOB_UPD_062_2","Corrige ângulos de ptop de rede às vezes sendo exibidos incorretamente na seleção"
"BOB_UPD_080_0","Adicionar substituição de prop da rede individual"
"BOB_UPD_080_1","Adicionar botão de UI unificada (UUI)"
"BOB_UPD_086_0","Adicionar opção para tornar fios em redes (linhas de energia e catenárias ferroviárias) de tamanho mais realista"
"BOB_UPD_090_0","As alterações agora são pré-visualizadas em tempo real"
"BOB_UPD_090_1","Alteração de Interface de Usuário: escolha entre os modos de substituição antes de aplicar as alterações"
"BOB_UPD_090_2","Mudar para a interface do usuário: um botão 'ocultar' dedicado para definir automaticamente as probabilidades para zero"
"BOB_UPD_090_3","A estrutura de tradução foi atualizada para usar o CrowdIn"
"BOB_UPD_090_4","Árvores não têm mais uma configuração de ângulo, como isso sempre será substituído por qualquer mod implementando rotação aleatória de árvore"
"BOB_UPD_090_5","Melhore o manuseio de propriedades com atributos especiais"
"BOB_UPD_090_6","Outras pequenas IU e melhorias funcionais"
"BOB_UPD_091_0","Modo prop/árvore combinado - substitua prop por árvores ou vice-versa"
"BOB_UPD_091_1","Ajuste o espaçamento entre os props de rede repetidos (somente modo individual)"
"BOB_UPD_091_2","Modo subterrâneo para selecionar túneis (PageDown/PageUp para alternar)"
"BOB_UPD_091_3","Agora as lâmpadas podem ser adicionadas ou removidas no jogo (reinício não é mais necessário para atualizar os efeitos de iluminação)"
"BOB_UPD_091_4","Destaque da posição da prop/árvore é escurecido enquanto o turno é pressionado e completamente desligado enquanto o alt é pressionado"
"BOB_UPD_092_0","Adicionar opção para desativar a substituição da árvore de ferramentas do jogo.  O uso desta opção desativa a função ""snap-to-network"" da ferramenta e permite a colocação manual de árvores perto (ou sobre, usando um modo Anarquia) de estradas."
"BOB_UPD_093_0","Grande novidade: adicionar props para a construção de pré-fabricados."
"BOB_UPD_093_1","Adicionar atalho para alternar a desativação da ferramenta de árvore vanilla (padrão Ctrl-Shift-T)"
"BOB_UPD_094_0","Novo recurso importante: adicionar props a prefabs de rede."
