"LANGUAGE","Русский"
"BOB_NAM","BOB: замена деревьев и реквизита"
"BOB_DESC","В РАЗРАБОТКЕ: Заменяет деревья и реквизит."
"TRN_CHOICE","Выбрать язык"
"LANGUAGE_GAME","Использ. системный"
"NOTE_CLOSE","Закрыть"
"NOTE_DONTSHOWAGAIN","Больше не показывать"
"BOB_MBX_OK","ОК"
"BOB_ROW_WAS","было"
"BOB_PNL_NOP","Реквизит не обнаружен"
"BOB_PNL_NOT","Деревья не обнаружены"
"BOB_PNL_TRE","Деревья"
"BOB_PNL_PRP","Реквизит"
"BOB_PNL_BOT","Деревья и реквизит"
"BOB_PNL_IND","Показать индивидуальный реквизит"
"BOB_PNL_HDV","Скрыть стандартные"
"BOB_PNL_ACT","Действия"
"BOB_PNL_MOD","Режим замены"
"BOB_PNL_LAN","Выберите полосу"
"BOB_PNL_LAN_TIP","Выберите определенную полосу для модификации, или выберите показать все полосы"
"BOB_PNL_LAN_ALL","Все полосы"
"BOB_PNL_FUN","Дополнительные функции"
"BOB_PNL_M_PIB","Отдельный реквизит в этих зданиях"
"BOB_PNL_M_PGB","Весь реквизит данного типа в этих зданиях"
"BOB_PNL_M_PAB","Весь реквизит данного типа во всех зданиях"
"BOB_PNL_M_TIB","Отдельные деревья в этих постройках"
"BOB_PNL_M_TGB","Все деревья данного типа в этих зданиях"
"BOB_PNL_M_TAB","Все деревья данного типа во всех зданиях"
"BOB_PNL_M_PIN","Отдельный реквизит на этих дорогах"
"BOB_PNL_M_PGN","Весь реквизит данного типа на этих дорогах"
"BOB_PNL_M_PAN","Весь реквизит данного типа на всех дорогах"
"BOB_PNL_M_TIN","Отдельные деревья на этих дорогах"
"BOB_PNL_M_TGN","Все деревья данного типа на этих дорогах"
"BOB_PNL_M_TAN","Все деревья данного типа на всех дорогах"
"BOB_PNL_RTB","Эти здания"
"BOB_PNL_RAB","Все здания"
"BOB_PNL_RTN","Эти пути"
"BOB_PNL_RAN","Все пути"
"BOB_PNL_RTT","Деревья карты"
"BOB_PNL_RTP","Реквизит карты"
"BOB_PNL_RSW","Показать случайное"
"BOB_PNL_RST","Настройка случайного"
"BOB_PNL_SCA","Масштабирование реквизита и деревьев"
"BOB_PNL_APP","Применить и сохранить изменения"
"BOB_PNL_REV","Отменить"
"BOB_PNL_ADD","Добавить новый реквизит"
"BOB_PNL_REM","Удалить добавленный реквизит"
"BOB_PNL_REV_UND","Отменить выбранную замену"
"BOB_PNL_REV_TIP","Возврат недоступен, так как для этого элемента нет активной замены"
"BOB_PNL_HID","Скрыть этот предмет (установите вероятность до нуля)"
"BOB_PNL_PKB","Пакеты замен"
"BOB_PNL_PRB","Вероятность"
"BOB_PNL_ANG","Угол"
"BOB_PNL_OFF","Смещение"
"BOB_PNL_HEI","Высота"
"BOB_PNL_CUH","Настроить"
"BOB_PNL_CUH_TIP","Если выбрано, то будет использоваться указанное пользовательское смещение по высоте (вместо высоты prop по умолчанию)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Интервал"
"BOB_PNL_REP_TIP","Расстояние между объектами"
"BOB_PNL_SUB","Дополнительное здание"
"BOB_RND_TIT","настройка случайных деревьев и реквизита"
"BOB_RND_NEW","Новый"
"BOB_RND_DEL","Удалить"
"BOB_RND_REN","Переименовать"
"BOB_RND_ADD","Добавить к вариантам"
"BOB_RND_SUB","Удалить из вариантов"
"BOB_SCA_TIT","масштаб-ние реквизита"
"BOB_SCA_MIN","Минимальный масштаб"
"BOB_SCA_MAX","Максимальный масштаб"
"BOB_SPR_SBL","В настоящее время применяется замена для этих зданий"
"BOB_SPR_ABL","В настоящее время применяется замена для всех зданий"
"BOB_SPR_SNT","В настоящее время применяется замена для этих путей"
"BOB_SPR_ANT","В настоящее время применяется замена для всех путей"
"BOB_SPR_PCK","В настоящее время применяется пакет замен"
"BOB_SPR_ADD","Этот элемент был добавлен через BOB и не является частью оригинального ассета"
"BOB_PCK_APP","Применить пакет"
"BOB_PCK_APP_A","Применение выбранного пакета замен"
"BOB_PCK_APP_C","Пакет не может быть применён, так как он конфликтует с уже применённым пакетом."
"BOB_PCK_APP_I","Применён пакет замен"
"BOB_PCK_RVT","Изменить пакет обратно"
"BOB_PCK_RVT_A","Отменяет применение выбранного пакета замены"
"BOB_PCK_RVT_I","В настоящее время пакет не применяется"
"BOB_PCK_NAL","Не все замены доступны"
"BOB_CFG_UCS","Использовать выбранную конфигурацию (вместо глобальной) для этого сохранения"
"BOB_CFG_SAC","Сохранить текущую конфигурацию"
"BOB_CFG_SSC","Копировать выбранную конфигурацию"
"BOB_CFG_SEC","Новая пустая конфигурация"
"BOB_CFG_DEL","Удалить выбранную конфигурацию"
"BOB_CFG_LAA","Загрузить и применить выбранную конфигурацию"
"BOB_CFG_LGL","Загрузить и применить глобальную конфигурацию"
"BOB_CFG_CLE","Очистить текущую конфигурацию"
"BOB_CFG_CLE_TIP","Удалить все ссылки на незагруженные здания, дороги, реквизиты и/или деревья из текущего файла конфигурации"
"BOB_CFG_CMD","Очистить данные карты"
"BOB_CFG_CMD_TIP","Удаляет записи о замененных отдельных деревьях и реквизите из текущего сохранения игры. Это означает, что Вы больше не можете возвращать замены карты (НЕ влияет на реквизит или деревья в зданиях или дорогах)"
"BOB_OPT_GEN","Общие настройки"
"BOB_OPT_CFG","Конфигурации"
"BOB_OPT_VIS","Визуальные эффекты"
"BOB_OPT_RUI","Разрушенная текстура"
"BOB_OPT_WIR","Провода"
"BOB_OPT_KEY","Горячая клавиша"
"BOB_OPT_DTK","Горячая клавиша"
"PRESS_ANY_KEY","Нажмите любую клавишу"
"BOB_OPT_RGL","Изменения вступят в силу после перезагрузки"
"BOB_OPT_RRT","Отключить разрушенную текстуру под деревьями"
"BOB_OPT_RRP","Отключить разрушенную текстуру под декорациями"
"BOB_OPT_WTH","Более тонкие электрические провода"
"BOB_NUKE","Сбросить конфигурацию"
"BOB_PER_IND","Показывать отдельные элементы по умолчанию"
"BOB_PER_SIN","Всегда выключен"
"BOB_PER_GRP","Всегда включен"
"BOB_PER_LST","Помнить предыд. настройку"
"BOB_OPT_POS","Помнить предыдущее положение панели"
"BOB_OPT_DTT","Отключить стандартный режим замены деревьев на дорогах"
"BOB_FIL_NAME","Поиск:"
"MES_PAGE","Пожалуйста, перейдите на страницу мода в Steam Workshop для получения дополнительной информации."
"BOB_ERR_FAT","Это означает, что мод не может работать и был отключен."
"BOB_ERR_HAR","BOB, the tree and prop replacer, не смог завершить необходимые патчи Harmony."
"ERR_HAR0","Ошибка пропатчивания Harmony"
"ERR_HAR1","Возможные причины этой проблемы:"
"ERR_HAR2","Необходимый обязательный мод Harmony 2 не был установлен"
"ERR_HAR3","Старый и/или сломанный мод мешает правильной работе Harmony 2."
"BOB_UPD_040_0","Представляем замену деревьев карты! Активируйте инструмент BOB как обычно и щелкните отдельно стоящее дерево."
"BOB_UPD_041_0","Исправлен сбой панели замены здания при смене цели замены"
"BOB_UPD_042_0","Появилась возможность выбора дополнительных зданий"
"BOB_UPD_042_1","Исправлена потенциальная ошибка при загрузке игры"
"BOB_UPD_043_0","Исправлен сброс настройки вероятности после отмены замены для всех зданий или всех путей"
"BOB_UPD_043_1","Исправлена ошибка, из-за которой LOD не обновлялись после отмены замены всех путей или всех зданий"
"BOB_UPD_043_2","Отрегулированы текстовые поля информационной панели для соответствия более длинным строкам перевода"
"BOB_UPD_050_0","Начальная реализация пакетов замен для путей"
"BOB_UPD_050_1","Теперь должным образом совместим с Network Skins 2."
"BOB_UPD_050_2","Более быстрая обработка замены"
"BOB_UPD_051_0","Новый формат списка деревьев/реквизита, со значками, указывающими, какой тип замены активен"
"BOB_UPD_052_0","Добавлено управление конфигурациями для работы с несколькими различными файлами конфигураций, доступное через панель параметров."
"BOB_UPD_060_0","Замена автономного реквизита"
"BOB_UPD_060_1","Выделение выбранного реквизита или деревьев"
"BOB_UPD_060_2","Теперь можно выбирать пути в зданиях"
"BOB_UPD_060_3","Теперь можно выбирать декоративные сооружения."
"BOB_UPD_060_4","Новая, уменьшенная панель замены"
"BOB_UPD_061_0","В списки добавлены фильтры сортировки имён по возрастанию/убыванию"
"BOB_UPD_062_0","Добавлена возможность удаления разрушенной текстуры под всеми деревьями и/или декорациями (в опциях)"
"BOB_UPD_062_1","Теперь можно выбрать паромные пути (чтобы изменить/скрыть их буи)"
"BOB_UPD_062_2","Исправлена ошибка, из-за которой углы реквизита дорог иногда неправильно отображались при выборе"
"BOB_UPD_080_0","Добавлена замена отдельных декораций дорог"
"BOB_UPD_080_1","Добавлена кнопка Unified UI (UUI)"
"BOB_UPD_086_0","Добавлен параметр делающий провода (линии электропередач и железнодорожные контактные сети) более реалистичного размера"
"BOB_UPD_090_0","Изменения теперь просматриваются в режиме реального времени"
"BOB_UPD_090_1","Изменение пользовательского интерфейса: выбор между режимами замены перед применением изменений"
"BOB_UPD_090_2","Изменение пользовательского интерфейса: специальная кнопка «скрыть» для автоматической установки вероятности на ноль"
"BOB_UPD_090_3","Фреймворк перевода был обновлен для использования CrowdIn"
"BOB_UPD_090_4","Деревья больше не имеют настройки угла, так как это переопределяется любым модом, реализующим случайное вращение деревьев"
"BOB_UPD_090_5","Улучшена обработка реквизита со специальными атрибутами"
"BOB_UPD_090_6","Другие незначительные улучшения интерфейса и функциональные улучшения"
"BOB_UPD_091_0","Комбинированный режим - замените реквизит деревьями или наоборот"
"BOB_UPD_091_1","Настроить интервал между повторяющимися дорожными реквизитами (только для отдельного режима)"
"BOB_UPD_091_2","Подземный режим для выбора туннелей (используйте PageDown/PageUp для переключения)"
"BOB_UPD_091_3","Теперь можно добавлять или удалять свет прямо из игры (для обновления световых эффектов больше не требуется перезагрузка)"
"BOB_UPD_091_4","Подсветка позиции реквизита/дерева тускнеет, пока нажата клавиша Shift, и полностью отключается, пока нажата клавиша Alt"
"BOB_UPD_092_0","Добавлена опция отключения стандартной замены деревьев на дорогах. При использовании этой опции отключается функция ""притягивания"" и появляется возможность вручную размещать деревья вблизи дорог (или на них, используя мод Анархии)."
"BOB_UPD_093_0","Основная новая функция: добавление реквизита к зданиям."
"BOB_UPD_093_1","Добавить горячую клавишу для отключения стандартной замены деревьев (по умолчанию Ctrl-Shift-T)"
"BOB_UPD_094_0","Основная новая функция: добавление реквизита к дорогам."
