"LANGUAGE","Українська"
"BOB_NAM","BOB: змінює дерева та реквізит"
"BOB_DESC","Змінює дерева та реквізит."
"TRN_CHOICE","Вибрати мову"
"LANGUAGE_GAME","Мова гри"
"NOTE_CLOSE","Закрити"
"NOTE_DONTSHOWAGAIN","Не показувати знову"
"BOB_ROW_WAS","було"
"BOB_PNL_NOP","Реквізиту не знайдено"
"BOB_PNL_NOT","Дерев не знайдено"
"BOB_PNL_TRE","Дерева"
"BOB_PNL_PRP","Реквізит"
"BOB_PNL_BOT","І дерева, і реквізит"
"BOB_PNL_HDV","Приховати ванільні"
"BOB_PNL_ACT","Дії"
"BOB_PNL_MOD","Режим заміни"
"BOB_PNL_LAN","Оберіть смугу"
"BOB_PNL_LAN_TIP","Виберіть специфічну смугу в мережі для модифікації, або виберіть, щоб показати всі смуги"
"BOB_PNL_LAN_ALL","Всі лінії"
"BOB_PNL_FUN","Додаткові функції"
"BOB_PNL_M_PIB","Індивідуальний реквізит в цих будівлях"
"BOB_PNL_M_PGB","Весь реквізит такого типу в цих будівлях"
"BOB_PNL_M_PAB","Весь реквізит такого типу у всіх будівлях"
"BOB_PNL_M_TIB","Індивідуальні дерева в цих будівлях"
"BOB_PNL_M_TGB","Всі дерева такого типу в цих будівлях"
"BOB_PNL_M_TAB","Всі дерева такого типу у всіх будівлях"
"BOB_PNL_M_PIN","Індивідуальний реквізит в цих мережах"
"BOB_PNL_M_PGN","Весь реквізит такого типу в цих мережах"
"BOB_PNL_M_PAN","Весь реквізит такого типу у всіх мережах"
"BOB_PNL_M_TIN","Індивідуальні дерева в цих мережах"
"BOB_PNL_M_TGN","Всі дерева такого типу в цих мережах"
"BOB_PNL_M_TAN","Всі дерева такого типу у всіх мережах"
"BOB_PNL_RTB","Ці будівлі"
"BOB_PNL_RAB","Всі будівлі"
"BOB_PNL_RTN","Ці мережі"
"BOB_PNL_RAN","Всі мережі"
"BOB_PNL_RTT","Дерева карти"
"BOB_PNL_RTP","Реквізит карти"
"BOB_PNL_RSW","Показати випадкове"
"BOB_PNL_RST","Випадкове налаштування"
"BOB_PNL_SCA","Масштабування реквізиту і дерев"
"BOB_PNL_APP","Застосувати та зберегти зміни"
"BOB_PNL_REV","Скасувати зміни"
"BOB_PNL_ADD","Додати новий реквізит"
"BOB_PNL_REM","Вилучити доданий реквізит"
"BOB_PNL_REV_UND","Скасувати вибрану заміну"
"BOB_PNL_REV_TIP","Повернення недоступне, оскільки для цього предмету немає активної заміни"
"BOB_PNL_HID","Сховати цей елемент (встановлює ймовірність до нуля)"
"BOB_PNL_PKB","Пакети заміни"
"BOB_PNL_PRB","Ймовірність"
"BOB_PNL_ANG","Кут"
"BOB_PNL_OFF","Зсув"
"BOB_PNL_HEI","Висота"
"BOB_PNL_CUH","Користувацька"
"BOB_PNL_CUH_TIP","Якщо це вибрано, тоді буде використовуватися заданий користувачем зсув висотою (замість використання стандартної висоти реквізиту)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Інтервал"
"BOB_PNL_REP_TIP","Відстань між екземплярами"
"BOB_PNL_SUB","Суббудівлі"
"BOB_RND_TIT","налаштувати випадкові дерева та об'єкти"
"BOB_RND_NEW","Новий"
"BOB_RND_DEL","Видалити"
"BOB_RND_REN","Перейменувати"
"BOB_RND_ADD","Додати до варіантів"
"BOB_RND_SUB","Вилучити з варіантів"
"BOB_SCA_TIT","налаштувати масштаб реквізиту"
"BOB_SCA_MIN","Мінімальний масштаб"
"BOB_SCA_MAX","Максимальний масштаб"
"BOB_SPR_SBL","Заміна зараз застосовується до цих будівель"
"BOB_SPR_ABL","Заміна зараз застосовується до всіх будівель"
"BOB_SPR_SNT","Заміна зараз застосовується до цих мереж"
"BOB_SPR_ANT","Заміна зараз застосовується до всіх мереж"
"BOB_SPR_PCK","Замінний пакет зараз використовується"
"BOB_SPR_ADD","Цей предмет доданий в BOB і не є частиною оригінального ассету"
"BOB_PCK_APP","Застосувати пакет"
"BOB_PCK_APP_A","Застосовує обраний пакет замін"
"BOB_PCK_APP_C","Пакунок не можна застосовувати, оскільки він має конфлікти з вже застосованим пакунком"
"BOB_PCK_APP_I","Пакунок зараз застосовується"
"BOB_PCK_RVT","Відновити пакет"
"BOB_PCK_RVT_A","Скасовує застосування обраного пакета заміни"
"BOB_PCK_RVT_I","Пакунок зараз не застосовується"
"BOB_PCK_NAL","Не всі заміни доступні"
"BOB_CFG_UCS","Використовувати вибрану конфігурацію (замість глобальної конфігурації) для цього збереження"
"BOB_CFG_SAC","Зберегти поточну конфігурацію"
"BOB_CFG_SSC","Копіювати вибрану конфігурацію"
"BOB_CFG_SEC","Нова порожня конфігурація"
"BOB_CFG_DEL","Видалити вибрану конфігурацію"
"BOB_CFG_LAA","Завантажити і застосувати вибрану конфігурацію"
"BOB_CFG_LGL","Завантажити та застосувати глобальну конфігурацію"
"BOB_CFG_CLE","Очистити поточну конфігурацію"
"BOB_CFG_CLE_TIP","Видаляє будь-які посилання на незавантажені будівлі, мережі, об'єкти та/або дерева з поточного файлу конфігурації"
"BOB_CFG_CMD","Очистити дані карти"
"BOB_CFG_CMD_TIP","Видаляє записи по замінені дерева та об'єкти з поточного збереження. Це означатиме, що ви більше не можете повернути заміну карти (НЕ впливає на реквізит чи дерева в будівлях чи мережах)"
"BOB_OPT_GEN","Основні налаштування"
"BOB_OPT_CFG","Конфігурації"
"BOB_OPT_VIS","Візуальні ефекти"
"BOB_OPT_RUI","Руйнування"
"BOB_OPT_WIR","Дроти"
"BOB_OPT_KEY","Гаряча клавіша"
"BOB_OPT_DTK","Гаряча клавіша"
"PRESS_ANY_KEY","Натисніть будь-яку клавішу"
"BOB_OPT_RGL","Зміни набудуть чинності після перезавантаження"
"BOB_OPT_RRT","Вимкнути текстуру руйнування під деревами"
"BOB_OPT_RRP","Вимкнути текстуру руйнування під реквізитом"
"BOB_OPT_WTH","Тонші електричні дроти"
"BOB_NUKE","Очистити поточну конфігурацію"
"BOB_PER_IND","За замовчуванням відображати окремі елементи"
"BOB_PER_SIN","Завжди вимкнено"
"BOB_PER_GRP","Завжди увімкнено"
"BOB_PER_LST","Запамʼятовувати попередні налаштування"
"BOB_OPT_POS","Запамʼятовувати попереднє положення панелі"
"BOB_OPT_DTT","Вимкнути стандартну заміну дерев у мережах"
"BOB_FIL_NAME","Пошук:"
"MES_PAGE","Будь ласка, зверніться до сторінки в майстерні Steam для отримання додаткової інформації."
"BOB_ERR_FAT","Це означає, що мод не здатний працювати і був вимкнений."
"BOB_ERR_HAR","BOB, не зміг виконати необхідні патчі Harmony."
"ERR_HAR0","Помилка при патчуванні Harmony"
"ERR_HAR1","Можливі причини цієї проблеми:"
"ERR_HAR2","Необхідна модифікація Harmony 2 не була встановлена"
"ERR_HAR3","Старий і/або зламаний мод перешкоджає роботі Harmony 2"
"RANDOM_TEMPLATE_MISSING","BOB не вдалося завантажити один або декілька випадкових шаблонів файлів:"
"PROP_TEMPLATE_MISSING","Випадковий реквізит BOB не працюватимуть"
"TREE_TEMPLATE_MISSING","Випадкові дерева BOB не працюватимуть"
"BOB_UPD_040_0","Представляємо вам заміну дерева карти! Активуйте інструмент BOB як зазвичай і натисніть на вільне стояче дерево."
"BOB_UPD_041_0","Виправлено виключення панелі заміни тимчасової будівлі при зміні цільового товару."
"BOB_UPD_042_0","Дозволено вибір суббудівель"
"BOB_UPD_042_1","Виправлено потенційні помилки умови при завантаженні гри"
"BOB_UPD_043_0","Виправлено ймовірне оновлення при поверненні до будь-якої будівлі або мережі"
"BOB_UPD_043_1","Виправлено: ""LOD"" не оновлювався після повернення заміни всієї мережі або всіх будівель"
"BOB_UPD_043_2","Налаштуйте текстові поля в інформаційній панелі відповідно до довших рядків перекладу"
"BOB_UPD_050_0","Початкова реалізація пакетів заміщення для мереж"
"BOB_UPD_050_1","Тепер повноцінно сумісний з Network Skins 2"
"BOB_UPD_050_2","Пришвидшено процес заміни"
"BOB_UPD_051_0","Новий формат списку дерев/реквізиту з іконками щоб вказати, який тип заміни активний"
"BOB_UPD_052_0","Додано управління конфігураціями для обробки кількох різних файлів конфігурації, доступних через панель параметрів"
"BOB_UPD_060_0","Автономна заміна реквізиту"
"BOB_UPD_060_1","Підсвічувати вибраний реквізит або дерева"
"BOB_UPD_060_2","Тепер можна вибрати мережі в будівлях"
"BOB_UPD_060_3","Тепер можна вибрати декорації в будівлях"
"BOB_UPD_060_4","Перероблена менша панель заміщення"
"BOB_UPD_061_0","Додано фільтри по спаданню та зростанню"
"BOB_UPD_062_0","Додано можливість видалення поверхні руйнування з під всіх дерев та/або реквізиту (в панелі налаштувань)"
"BOB_UPD_062_1","Поромні шляхи тепер можуть бути обрані (щоб змінити/приховати буйки)"
"BOB_UPD_062_2","Виправлено кути мережевого реквізиту іноді неправильно показуються при виборі"
"BOB_UPD_080_0","Додано індивідуальну заміну мережевого реквізиту"
"BOB_UPD_080_1","Додано кнопку Unified UI (UUI)"
"BOB_UPD_086_0","Додано параметр, щоб зробити проводи в мережах (електролінії та залізничні лінії) більш реалістичного розміру"
"BOB_UPD_090_0","Зміни тепер відображаються в режимі реального часу"
"BOB_UPD_090_1","Зміни інтерфейсу користувача: додано вибір між режимами заміни перед застосуванням змін"
"BOB_UPD_090_2","Змінити інтерфейсу користувача: спеціальна кнопка «приховування» для автоматичного встановлення ймовірності на нуль"
"BOB_UPD_090_3","Система перекладу була оновлена для використання Crowdin"
"BOB_UPD_090_4","Дерева більше не мають налаштування кута, тому що це завжди буде перевизначено за допомогою будь-якого мода з випадковим кутом дерева"
"BOB_UPD_090_5","Покращено обробку реквізиту за допомогою спеціальних атрибутів"
"BOB_UPD_090_6","Інші незначні поліпшення інтерфейсу та функціональних можливостей"
"BOB_UPD_091_0","Комбінований режим реквізит/дерево - заміна реквізиту деревами або навпаки"
"BOB_UPD_091_1","Налаштування інтервалу між повторюваним мережевим реквізитом (тільки для індивідуального режиму)"
"BOB_UPD_091_2","Підземний режим для вибору тунелів (PageDown/PageUp для перемикання)"
"BOB_UPD_091_3","Тепер світло можна додати або видалити в грі (перезавантаження більше не потрібно для оновлення ефектів освітлення)"
"BOB_UPD_091_4","Підсвітка положення реквізиту або дерев затінене під час натиснення зміни та повністю вимкнене в той час, як alt натиснута"
"BOB_UPD_092_0","Додано параметр для вимкнення заміни дерева за допомогою ігрового інструменту. Використовуючи цю опцію, Ви можете вимикати функцію переходу до мережі для інструменту, що дозволяє ручне розміщення дерев поблизу (або ввімкнено, використовуючи моди Анархії)."
"BOB_UPD_093_0","Основна нова функція: додавайте об'єкти до префабів будівель."
"BOB_UPD_093_1","Додано гарячу клавішу, щоб вимкнути інструмент заміни ванільних дерев (типово Ctrl-Shift-T)"
"BOB_UPD_094_0","Основна нова функція: додавайте об'єкти до префабів мереж."
